arterycode,count_type,loc,type,road,road_rank,tot_days
2969,PermAutom,RAMP DON VALLEY PKWY N/B TO DON MILLS RD S/B,RESCU,DVP,2,1871
2970,PermAutom,RAMP DON VALLEY PKWY N/B TO EGLINTON AVE E/B,RESCU,DVP,2,929
2971,PermAutom,RAMP DON VALLEY PKWY N/B TO EGLINTON AVE W/B,RESCU,DVP,2,1659
2972,PermAutom,RAMP DON VALLEY PKWY S/B TO DON MILLS RD N/B,RESCU,DVP,2,1868
2973,PermAutom,RAMP DON VALLEY PKWY S/B TO DON MILLS RD S/B,RESCU,DVP,2,1822
2974,PermAutom,RAMP DON VALLEY PKWY S/B TO EGLINTON AVE E/B,RESCU,DVP,2,2535
2976,PermAutom,RAMP DON VALLEY PKWY S/B TO LAWRENCE AVE E/B,RESCU,DVP,2,2596
2977,PermAutom,RAMP EGLINTON AVE E/B TO DON VALLEY PKWY N/B,RESCU,DVP,2,2019
2978,PermAutom,RAMP EGLINTON AVE E/B TO DON VALLEY PKWY S/B,RESCU,DVP,2,2530
2979,PermAutom,RAMP EGLINTON AVE W/B TO DON VALLEY PKWY N/B,RESCU,DVP,2,1600
2980,PermAutom,RAMP EGLINTON AVE W/B TO DON VALLEY PKWY S/B,RESCU,DVP,2,1952
3010,PermAutom,RAMP LAWRENCE AVE E/B TO DON VALLEY PKWY N/B,RESCU,DVP,2,2590
3011,PermAutom,RAMP LAWRENCE AVE E/B TO DON VALLEY PKWY S/B,RESCU,DVP,2,2064
3013,PermAutom,RAMP LAWRENCE AVE W/B TO DON VALLEY PKWY N/B,RESCU,DVP,2,2207
3014,PermAutom,RAMP LAWRENCE AVE W/B TO DON VALLEY PKWY S/B,RESCU,DVP,2,2209
3051,24 HOUR,VICTORIA PARK AVE N/B S OF BASSETT AVE,Other,,6,515
3052,24 HOUR,VICTORIA PARK AVE S/B N OF YARDLEY AVE,Other,,6,626
3054,PermAutom,W R ALLEN RD S/B N OF EGLINTON AVE,RESCU,Allen,3,576
3060,PermAutom,W R ALLEN RD S/B N OF TRANSIT RD,Other,,6,2337
3061,24 HOUR,YARDLEY AVE E/B W OF VICTORIA PARK AVE,Other,,6,756
3075,PermAutom,RAMP DON VALLEY PKWY N/B TO LAWRENCE AVE W/B,RESCU,DVP,2,2174
3129,24 HOUR,BASSETT AVE W/B E OF VICTORIA PARK AVE,Other,,6,447
3140,PermAutom,BLACK CREEK DR N/B N OF TRETHEWEY DR,Other,,6,1676
3142,PermAutom,CULFORD RD N/B S OF LAWRENCE AVE,Other,,6,3314
3143,PermAutom,CULFORD RD S/B N OF LAWRENCE AVE,Other,,6,3854
3145,PermAutom,DIXON RD E/B W OF ISLINGTON AVE,Other,,6,544
3146,PermAutom,DON VALLEY PKWY N/B S OF YORK MILLS RD,RESCU,DVP,2,2409
3147,PermAutom,DON VALLEY PKWY S/B S OF YORK MILLS RD,RESCU,DVP,2,2386
3168,PermAutom,F G GARDINER EXPY E/B W OF BATHURST ST,RESCU,Gardiner,1,3027
3169,PermAutom,F G GARDINER EXPY W/B W OF BATHURST ST,RESCU,Gardiner,1,3704
3170,PermAutom,F G GARDINER EXPY E/B W OF BAY ST,RESCU,Gardiner,1,4689
3171,PermAutom,F G GARDINER EXPY W/B W OF BAY ST,RESCU,Gardiner,1,4597
3172,PermAutom,F G GARDINER EXPY E/B E OF CHERRY ST N,RESCU,Gardiner,1,3112
